Drink Name,Basic Description
Iced Passion Tango Tea Lemonade,"Passion Tango tea, lemonade, and ice; tart, floral, vibrant."
Jade Citrus Mint Tea,Green tea blend with mint and citrus notes; light and aromatic.
Peach Tranquility Tea,"Herbal tea with peach and chamomile notes; mellow, sweet, caffeine-free."
Mint Majesty Tea,"Herbal mint tea; cool, simple, caffeine-free, and soothing."
Emperor's Clouds & Mist,Green tea with toasty sweetness and soft vegetal notes.
Earl Grey Tea,"Black tea with bergamot citrus aroma; brisk, floral, classic."
Mango Dragonfruit Refresher,Fruit juice base with mango-dragonfruit flavors and green coffee extract.
Mango Dragonfruit Lemonade Refresher,"Mango-dragonfruit refresher mixed with lemonade; brighter, tarter, fruitier finish."
Dragon Drink,"Mango Dragonfruit Refresher with coconutmilk; creamy, tropical, colorful beverage."
Strawberry Açaí Refresher,"Strawberry-açaí base with green coffee extract; fruity, lightly caffeinated."
Strawberry Açaí Lemonade Refresher,"Strawberry-açaí refresher plus lemonade; tart, juicy, and brighter."
Pink Drink,"Strawberry Açaí Refresher with coconutmilk; creamy, berry-forward, iconic pink beverage."
Pineapple Passionfruit Refresher,"Pineapple-passionfruit base with green coffee extract; tropical, tangy, energizing."
Pineapple Passionfruit Lemonade Refresher,"Pineapple-passionfruit refresher with lemonade; extra tart, bright, tropical."
Paradise Drink,"Pineapple Passionfruit Refresher with coconutmilk; creamy, tropical, vacation-style flavor."
Coffee Frappuccino,"Coffee, milk, ice, and Frappuccino base blended smooth and sweet."
Espresso Frappuccino,Coffee Frappuccino blended with espresso; stronger coffee flavor and caffeine.
Caramel Frappuccino,"Coffee, milk, ice, caramel syrup, whipped cream, caramel drizzle blended."
Caramel Ribbon Crunch Frappuccino,"Coffee, caramel, dark caramel sauce, whipped cream, crunch topping blended."
Mocha Frappuccino,"Coffee, milk, ice, mocha sauce blended; chocolaty and lightly bitter."
Java Chip Frappuccino,"Coffee, mocha sauce, Frappuccino chips, milk, and ice blended."
White Chocolate Mocha Frappuccino,"Coffee, white chocolate sauce, milk, and ice; very sweet."
Vanilla Bean Crème Frappuccino,"Vanilla bean flavor, milk, and ice blended; coffee-free and creamy."
Matcha Crème Frappuccino,"Matcha, milk, ice, and Frappuccino base; creamy, earthy, sweet."
Strawberry Crème Frappuccino,"Strawberry puree, milk, ice, and whipped cream; fruity and creamy."
Chai Crème Frappuccino,"Chai spices, milk, ice, and blended base; sweet and spiced."
Double Chocolaty Chip Crème Frappuccino,"Mocha sauce, chocolate chips, milk, ice; coffee-free chocolate treat."
Lavender Crème Frappuccino,"Lavender flavor, milk, ice, and cream base; floral, sweet, creamy."
Hot Chocolate,"Mocha sauce, steamed milk, and whipped cream; rich, warm chocolate drink."
White Hot Chocolate,"White chocolate sauce and steamed milk, topped with whipped cream."
Steamed Milk,Plain steamed milk with foam; simple and customizable base beverage.
Vanilla Crème,"Steamed milk flavored with vanilla syrup; warm, sweet, coffee-free."
Caramel Apple Spice,"Steamed apple juice, cinnamon dolce syrup, whipped cream, caramel drizzle."
